sample_id,scenario_type,category_bucket,difficulty_bucket,ground_truth.parent_asin,user_profile.average_prior_rating,user_profile.preference_tags,user_profile.purchase_frequency,user_profile.rating_style,user_profile.summary
public_0164,browsing,clothing,medium,B0C61FG7GL,5.0,"material, fit, style, weather",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit, style, weather; ratings are usually positive."
public_0165,buying,clothing,easy,B09XHSLX4X,5.0,"material, comfort, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort, fit, style; ratings are usually positive."
public_0166,intent_override,clothing,hard,B00IHW88W0,5.0,"comfort, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, style; ratings are usually positive."
public_0167,browsing,clothing,medium,B07357B79L,5.0,"comfort, fit, style, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, style, durability; ratings are usually positive."
public_0168,buying,clothing,easy,B08YYHDJD1,5.0,"comfort, warmth, durability, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, warmth, durability, fit; ratings are usually positive."
public_0169,boundary,clothing,medium,B0829R9M5G,5.0,"material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort; ratings are usually positive."
public_0170,browsing,clothing,medium,B08LRQX5RH,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0171,buying,clothing,easy,B0BFVFFHKS,3.0,"fit, material, comfort, warmth",3-4 prior purchases,critical,"Prior purchases emphasize fit, material, comfort, warmth; ratings are critical."
public_0172,browsing,clothing,medium,B0829PZGBB,5.0,"style, fit, material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize style, fit, material, comfort; ratings are usually positive."
public_0173,browsing,clothing,medium,B07THT4G8N,5.0,"fit, comfort, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, durability, style; ratings are usually positive."
public_0174,buying,clothing,easy,B0794VPVBH,5.0,"fit, comfort, material, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material, durability; ratings are usually positive."
public_0175,browsing,clothing,medium,B07D5M61T2,5.0,"fit, style, material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, style, material, comfort; ratings are usually positive."
public_0176,browsing,clothing,medium,B0C3MKNZJN,5.0,"fit, style, material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, style, material, comfort; ratings are usually positive."
public_0177,intent_override,clothing,hard,B07HV9WW6Q,3.0,"style, fit, comfort, material",3-4 prior purchases,critical,"Prior purchases emphasize style, fit, comfort, material; ratings are critical."
public_0178,buying,clothing,easy,B01FWQ8NH8,5.0,"comfort, material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, material, fit; ratings are usually positive."
public_0179,buying,clothing,easy,B08JK818ZD,3.0,"warmth, comfort, material, fit",3-4 prior purchases,critical,"Prior purchases emphasize warmth, comfort, material, fit; ratings are critical."
public_0180,boundary,clothing,medium,B01HSMYV8E,3.0,"material, comfort, fit, style",3-4 prior purchases,critical,"Prior purchases emphasize material, comfort, fit, style; ratings are critical."
public_0181,browsing,clothing,medium,B08M3WKDFJ,5.0,"warmth, comfort, material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize warmth, comfort, material, fit; ratings are usually positive."
public_0182,browsing,clothing,medium,B0C5XBLB2P,1.0,"comfort, material",3-4 prior purchases,critical,"Prior purchases emphasize comfort, material; ratings are critical."
public_0183,intent_override,clothing,hard,B07Z2KSZR3,4.0,"material, fit",3-4 prior purchases,mixed,"Prior purchases emphasize material, fit; ratings are mixed."
public_0184,browsing,clothing,medium,B0BWLFCTTF,5.0,"fit, material, comfort, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, material, comfort, style; ratings are usually positive."
public_0185,buying,clothing,easy,B0BCW4QKV5,3.0,"comfort, style, material, fit",3-4 prior purchases,critical,"Prior purchases emphasize comfort, style, material, fit; ratings are critical."
public_0186,intent_override,clothing,hard,B07XPLHXC1,5.0,"material, comfort, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort, fit, style; ratings are usually positive."
public_0187,boundary,clothing,medium,B000GQ1F3O,5.0,"weather, comfort, style",3-4 prior purchases,usually positive,"Prior purchases emphasize weather, comfort, style; ratings are usually positive."
public_0188,buying,clothing,easy,B0B5ZS2J2W,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0189,buying,clothing,easy,B0C614ZPK3,5.0,"comfort, material",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, material; ratings are usually positive."
public_0190,buying,clothing,easy,B01MQUDPPO,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0191,browsing,clothing,medium,B083TB1NDK,5.0,"performance, comfort, material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize performance, comfort, material, fit; ratings are usually positive."
public_0192,boundary,clothing,medium,B0C62MF2HV,5.0,"comfort, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, style; ratings are usually positive."
public_0193,buying,clothing,easy,B07YM55NLW,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0194,buying,clothing,easy,B09WR1NZ48,5.0,"warmth, weather, comfort, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize warmth, weather, comfort, fit; ratings are usually positive."
public_0195,browsing,clothing,medium,B072M4K5LF,3.0,"material, fit",3-4 prior purchases,critical,"Prior purchases emphasize material, fit; ratings are critical."
public_0196,browsing,clothing,medium,B073T364MM,5.0,"material, fit, comfort, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit, comfort, style; ratings are usually positive."
public_0197,intent_override,clothing,hard,B07FDNP55K,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0198,intent_override,clothing,hard,B08K1ZJZ4N,5.0,"material, durability, fit, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize material, durability, fit, comfort; ratings are usually positive."
public_0199,buying,clothing,easy,B089M57PSQ,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0200,buying,clothing,easy,B07VFZ2FC2,4.0,"material, comfort, fit, style",3-4 prior purchases,mixed,"Prior purchases emphasize material, comfort, fit, style; ratings are mixed."
